France	Kylian Mbappé	1	1	0	32/38 (84%)	11 (4)	10 (4)	1 (0)	90'	F	8.0
France	Dayot Upamecano	0	0	1	53/59 (90%)	2 (2)	1 (1)	1 (1)	90'	D	7.4
France	Kurt Zouma	0	0	1	40/45 (89%)	7 (7)	1 (1)	6 (6)	90'	D	7.4
France	Aurélien Tchouaméni	0	0	2	38/47 (81%)	8 (6)	6 (4)	2 (2)	90'	M	7.3
France	Karim Benzema	1	0	0	20/22 (91%)	1 (0)	1 (0)	0 (0)	34'	F	7.3
France	Hugo Lloris	0	0	0	21/28 (75%)	0 (0)	0 (0)	0 (0)	90'	G	7.2
France	Lucas Digne	0	1	2	34/42 (81%)	6 (3)	5 (2)	1 (1)	90'	M	7.2
France	Antoine Griezmann	0	0	2	32/39 (82%)	6 (3)	4 (2)	2 (1)	67'	F	7.0
France	Léo Dubois	0	0	1	33/39 (85%)	2 (2)	1 (1)	1 (1)	45'	M	7.0
France	Jules Koundé	0	0	1	53/62 (85%)	2 (2)	1 (1)	1 (1)	57'	D	6.9
France	Benjamin Pavard	0	0	0	23/25 (92%)	3 (1)	1 (0)	2 (1)	45'	D	6.8
France	Kingsley Coman	0	0	0	17/22 (77%)	2 (2)	2 (2)	0 (0)	33'	F	6.8
France	Moussa Diaby	0	0	0	16/17 (94%)	3 (1)	3 (1)	0 (0)	56'	F	6.7
France	Adrien Rabiot	0	0	1	40/46 (87%)	4 (2)	3 (1)	1 (1)	86'	M	6.5
France	Mattéo Guendouzi	0	0	0	14/18 (78%)	4 (2)	3 (1)	1 (1)	23'	M	6.5
France	Jordan Veretout	0	0	0	0/1 (0%)	0 (0)	0 (0)	0 (0)	8'	M	6.4
